2025/12/03 02:43:28 PM > ep 50 done. total_steps=1032 | reward=13.0 | episode_steps=13 | hours=0.003 | epsilon=0.955
2025/12/03 02:43:28 PM > ep 51 done. total_steps=1061 | reward=29.0 | episode_steps=29 | hours=0.003 | epsilon=0.954
2025/12/03 02:43:29 PM > ep 52 done. total_steps=1085 | reward=24.0 | episode_steps=24 | hours=0.003 | epsilon=0.953
2025/12/03 02:43:29 PM > ep 53 done. total_steps=1097 | reward=12.0 | episode_steps=12 | hours=0.003 | epsilon=0.952
2025/12/03 02:43:29 PM > ep 54 done. total_steps=1109 | reward=12.0 | episode_steps=12 | hours=0.003 | epsilon=0.951
2025/12/03 02:43:30 PM > ep 55 done. total_steps=1122 | reward=13.0 | episode_steps=13 | hours=0.003 | epsilon=0.951
2025/12/03 02:43:30 PM > ep 56 done. total_steps=1135 | reward=13.0 | episode_steps=13 | hours=0.004 | epsilon=0.950
2025/12/03 02:43:30 PM > ep 57 done. total_steps=1149 | reward=14.0 | episode_steps=14 | hours=0.004 | epsilon=0.950
2025/12/03 02:43:30 PM > ep 58 done. total_steps=1176 | reward=27.0 | episode_steps=27 | hours=0.004 | epsilon=0.949
2025/12/03 02:43:31 PM > ep 59 done. total_steps=1201 | reward=25.0 | episode_steps=25 | hours=0.004 | epsilon=0.948
2025/12/03 02:43:31 PM > ep 60 done. total_steps=1219 | reward=18.0 | episode_steps=18 | hours=0.004 | epsilon=0.947
2025/12/03 02:43:31 PM > ep 61 done. total_steps=1230 | reward=11.0 | episode_steps=11 | hours=0.004 | epsilon=0.946
2025/12/03 02:43:31 PM > ep 62 done. total_steps=1246 | reward=16.0 | episode_steps=16 | hours=0.004 | epsilon=0.946
2025/12/03 02:43:31 PM > ep 63 done. total_steps=1261 | reward=15.0 | episode_steps=15 | hours=0.004 | epsilon=0.945
2025/12/03 02:43:32 PM > ep 64 done. total_steps=1272 | reward=11.0 | episode_steps=11 | hours=0.004 | epsilon=0.945
2025/12/03 02:43:32 PM > ep 65 done. total_steps=1282 | reward=10.0 | episode_steps=10 | hours=0.004 | epsilon=0.944
2025/12/03 02:43:32 PM > ep 66 done. total_steps=1305 | reward=23.0 | episode_steps=23 | hours=0.004 | epsilon=0.943
2025/12/03 02:43:32 PM > ep 67 done. total_steps=1320 | reward=15.0 | episode_steps=15 | hours=0.004 | epsilon=0.943
2025/12/03 02:43:32 PM > ep 68 done. total_steps=1334 | reward=14.0 | episode_steps=14 | hours=0.004 | epsilon=0.942
2025/12/03 02:43:33 PM > ep 69 done. total_steps=1357 | reward=23.0 | episode_steps=23 | hours=0.004 | epsilon=0.941
2025/12/03 02:43:33 PM > ep 70 done. total_steps=1367 | reward=10.0 | episode_steps=10 | hours=0.004 | epsilon=0.941
2025/12/03 02:43:33 PM > ep 71 done. total_steps=1405 | reward=38.0 | episode_steps=38 | hours=0.005 | epsilon=0.939
2025/12/03 02:43:33 PM > ep 72 done. total_steps=1419 | reward=14.0 | episode_steps=14 | hours=0.005 | epsilon=0.938
2025/12/03 02:43:34 PM > ep 73 done. total_steps=1437 | reward=18.0 | episode_steps=18 | hours=0.005 | epsilon=0.938
