2025/12/04 12:59:53 PM > ep 49 done. total_steps=20065 | reward=1.0 | episode_steps=80 | hours=0.032 | epsilon=0.430
2025/12/04 12:59:58 PM > ep 50 done. total_steps=21065 | reward=0.0 | episode_steps=1000 | hours=0.033 | epsilon=0.414
2025/12/04 12:59:59 PM > ep 51 done. total_steps=21163 | reward=1.0 | episode_steps=98 | hours=0.033 | epsilon=0.412
2025/12/04 12:59:59 PM > ep 52 done. total_steps=21256 | reward=1.0 | episode_steps=93 | hours=0.034 | epsilon=0.411
2025/12/04 12:59:59 PM > ep 53 done. total_steps=21276 | reward=1.0 | episode_steps=20 | hours=0.034 | epsilon=0.411
2025/12/04 01:00:00 PM > ep 54 done. total_steps=21382 | reward=1.0 | episode_steps=106 | hours=0.034 | epsilon=0.409
2025/12/04 01:00:00 PM > ep 55 done. total_steps=21423 | reward=1.0 | episode_steps=41 | hours=0.034 | epsilon=0.408
2025/12/04 01:00:06 PM > ep 56 done. total_steps=22423 | reward=0.0 | episode_steps=1000 | hours=0.035 | epsilon=0.393
2025/12/04 01:00:09 PM > ep 57 done. total_steps=23072 | reward=1.0 | episode_steps=649 | hours=0.036 | epsilon=0.384
2025/12/04 01:00:10 PM > ep 58 done. total_steps=23146 | reward=1.0 | episode_steps=74 | hours=0.036 | epsilon=0.383
2025/12/04 01:00:11 PM > ep 59 done. total_steps=23358 | reward=1.0 | episode_steps=212 | hours=0.037 | epsilon=0.380
2025/12/04 01:00:15 PM > ep 60 done. total_steps=24128 | reward=1.0 | episode_steps=770 | hours=0.038 | epsilon=0.369
2025/12/04 01:00:15 PM > ep 61 done. total_steps=24205 | reward=1.0 | episode_steps=77 | hours=0.038 | epsilon=0.368
2025/12/04 01:00:16 PM > ep 62 done. total_steps=24316 | reward=1.0 | episode_steps=111 | hours=0.038 | epsilon=0.367
2025/12/04 01:00:19 PM > ep 63 done. total_steps=24932 | reward=1.0 | episode_steps=616 | hours=0.039 | epsilon=0.359
2025/12/04 01:00:20 PM > ep 64 done. total_steps=25160 | reward=1.0 | episode_steps=228 | hours=0.039 | epsilon=0.356
2025/12/04 01:00:21 PM > ep 65 done. total_steps=25240 | reward=1.0 | episode_steps=80 | hours=0.039 | epsilon=0.355
2025/12/04 01:00:21 PM > ep 66 done. total_steps=25270 | reward=1.0 | episode_steps=30 | hours=0.040 | epsilon=0.354
2025/12/04 01:00:22 PM > ep 67 done. total_steps=25373 | reward=1.0 | episode_steps=103 | hours=0.040 | epsilon=0.353
2025/12/04 01:00:22 PM > ep 68 done. total_steps=25473 | reward=1.0 | episode_steps=100 | hours=0.040 | epsilon=0.352
2025/12/04 01:00:24 PM > ep 69 done. total_steps=25903 | reward=1.0 | episode_steps=430 | hours=0.040 | epsilon=0.346
2025/12/04 01:00:25 PM > ep 70 done. total_steps=26052 | reward=1.0 | episode_steps=149 | hours=0.041 | epsilon=0.345
2025/12/04 01:00:28 PM > ep 71 done. total_steps=26501 | reward=1.0 | episode_steps=449 | hours=0.041 | epsilon=0.339
2025/12/04 01:00:28 PM > ep 72 done. total_steps=26506 | reward=1.0 | episode_steps=5 | hours=0.041 | epsilon=0.339
2025/12/04 01:00:29 PM > ep 73 done. total_steps=26776 | reward=1.0 | episode_steps=270 | hours=0.042 | epsilon=0.336
2025/12/04 01:00:34 PM > ep 74 done. total_steps=27739 | reward=1.0 | episode_steps=963 | hours=0.043 | epsilon=0.325
2025/12/04 01:00:35 PM > ep 75 done. total_steps=27772 | reward=1.0 | episode_steps=33 | hours=0.043 | epsilon=0.324
2025/12/04 01:00:36 PM > ep 76 done. total_steps=28085 | reward=1.0 | episode_steps=313 | hours=0.044 | epsilon=0.321
2025/12/04 01:00:36 PM > ep 77 done. total_steps=28101 | reward=1.0 | episode_steps=16 | hours=0.044 | epsilon=0.321
2025/12/04 01:00:37 PM > ep 78 done. total_steps=28227 | reward=1.0 | episode_steps=126 | hours=0.044 | epsilon=0.319
