2025/12/04 01:37:01 PM > ep 49 done. total_steps=33498 | reward=0.0 | episode_steps=1000 | hours=0.058 | epsilon=0.269
2025/12/04 01:37:07 PM > ep 50 done. total_steps=34498 | reward=0.0 | episode_steps=1000 | hours=0.060 | epsilon=0.260
2025/12/04 01:37:13 PM > ep 51 done. total_steps=35498 | reward=0.0 | episode_steps=1000 | hours=0.061 | epsilon=0.253
2025/12/04 01:37:19 PM > ep 52 done. total_steps=36498 | reward=0.0 | episode_steps=1000 | hours=0.063 | epsilon=0.245
2025/12/04 01:37:25 PM > ep 53 done. total_steps=37498 | reward=0.0 | episode_steps=1000 | hours=0.065 | epsilon=0.238
2025/12/04 01:37:25 PM > ep 54 done. total_steps=37537 | reward=1.0 | episode_steps=39 | hours=0.065 | epsilon=0.238
2025/12/04 01:37:25 PM > ep 55 done. total_steps=37568 | reward=1.0 | episode_steps=31 | hours=0.065 | epsilon=0.238
2025/12/04 01:37:25 PM > ep 56 done. total_steps=37572 | reward=1.0 | episode_steps=4 | hours=0.065 | epsilon=0.238
2025/12/04 01:37:31 PM > ep 57 done. total_steps=38572 | reward=0.0 | episode_steps=1000 | hours=0.066 | epsilon=0.231
2025/12/04 01:37:37 PM > ep 58 done. total_steps=39572 | reward=0.0 | episode_steps=1000 | hours=0.068 | epsilon=0.224
2025/12/04 01:37:43 PM > ep 59 done. total_steps=40572 | reward=0.0 | episode_steps=1000 | hours=0.070 | epsilon=0.218
2025/12/04 01:37:48 PM > ep 60 done. total_steps=41429 | reward=1.0 | episode_steps=857 | hours=0.071 | epsilon=0.213
2025/12/04 01:37:54 PM > ep 61 done. total_steps=42429 | reward=0.0 | episode_steps=1000 | hours=0.073 | epsilon=0.208
2025/12/04 01:37:59 PM > ep 62 done. total_steps=43429 | reward=0.0 | episode_steps=1000 | hours=0.074 | epsilon=0.203
2025/12/04 01:38:05 PM > ep 63 done. total_steps=44429 | reward=0.0 | episode_steps=1000 | hours=0.076 | epsilon=0.198
2025/12/04 01:38:11 PM > ep 64 done. total_steps=45429 | reward=0.0 | episode_steps=1000 | hours=0.077 | epsilon=0.193
2025/12/04 01:38:17 PM > ep 65 done. total_steps=46429 | reward=0.0 | episode_steps=1000 | hours=0.079 | epsilon=0.188
2025/12/04 01:38:23 PM > ep 66 done. total_steps=47429 | reward=0.0 | episode_steps=1000 | hours=0.081 | epsilon=0.184
2025/12/04 01:38:29 PM > ep 67 done. total_steps=48429 | reward=0.0 | episode_steps=1000 | hours=0.082 | epsilon=0.180
2025/12/04 01:38:35 PM > ep 68 done. total_steps=49429 | reward=0.0 | episode_steps=1000 | hours=0.084 | epsilon=0.176
2025/12/04 01:38:40 PM > ep 69 done. total_steps=50429 | reward=0.0 | episode_steps=1000 | hours=0.086 | epsilon=0.172
2025/12/04 01:38:46 PM > ep 70 done. total_steps=51429 | reward=0.0 | episode_steps=1000 | hours=0.087 | epsilon=0.169
2025/12/04 01:38:52 PM > ep 71 done. total_steps=52429 | reward=0.0 | episode_steps=1000 | hours=0.089 | epsilon=0.165
2025/12/04 01:38:58 PM > ep 72 done. total_steps=53429 | reward=0.0 | episode_steps=1000 | hours=0.091 | epsilon=0.162
2025/12/04 01:39:01 PM > ep 73 done. total_steps=53995 | reward=1.0 | episode_steps=566 | hours=0.091 | epsilon=0.161
2025/12/04 01:39:07 PM > ep 74 done. total_steps=54995 | reward=0.0 | episode_steps=1000 | hours=0.093 | epsilon=0.158
2025/12/04 01:39:13 PM > ep 75 done. total_steps=55995 | reward=0.0 | episode_steps=1000 | hours=0.095 | epsilon=0.155
2025/12/04 01:39:19 PM > ep 76 done. total_steps=56995 | reward=0.0 | episode_steps=1000 | hours=0.096 | epsilon=0.152
2025/12/04 01:39:24 PM > ep 77 done. total_steps=57995 | reward=0.0 | episode_steps=1000 | hours=0.098 | epsilon=0.150
2025/12/04 01:39:25 PM > ep 78 done. total_steps=58086 | reward=1.0 | episode_steps=91 | hours=0.098 | epsilon=0.149
2025/12/04 01:39:31 PM > ep 79 done. total_steps=59086 | reward=0.0 | episode_steps=1000 | hours=0.100 | epsilon=0.147
2025/12/04 01:39:37 PM > ep 80 done. total_steps=60086 | reward=0.0 | episode_steps=1000 | hours=0.101 | epsilon=0.145
2025/12/04 01:39:42 PM > ep 81 done. total_steps=61086 | reward=0.0 | episode_steps=1000 | hours=0.103 | epsilon=0.142
2025/12/04 01:39:48 PM > ep 82 done. total_steps=62086 | reward=0.0 | episode_steps=1000 | hours=0.105 | epsilon=0.140
2025/12/04 01:39:54 PM > ep 83 done. total_steps=63086 | reward=0.0 | episode_steps=1000 | hours=0.106 | epsilon=0.138
2025/12/04 01:39:54 PM > ep 84 done. total_steps=63089 | reward=1.0 | episode_steps=3 | hours=0.106 | epsilon=0.138
2025/12/04 01:40:00 PM > ep 85 done. total_steps=64089 | reward=0.0 | episode_steps=1000 | hours=0.108 | epsilon=0.137
2025/12/04 01:40:06 PM > ep 86 done. total_steps=65089 | reward=0.0 | episode_steps=1000 | hours=0.109 | epsilon=0.135
2025/12/04 01:40:12 PM > ep 87 done. total_steps=66089 | reward=0.0 | episode_steps=1000 | hours=0.111 | epsilon=0.133
2025/12/04 01:40:17 PM > ep 88 done. total_steps=67089 | reward=0.0 | episode_steps=1000 | hours=0.113 | epsilon=0.131
2025/12/04 01:40:17 PM > ep 89 done. total_steps=67092 | reward=1.0 | episode_steps=3 | hours=0.113 | epsilon=0.131
2025/12/04 01:40:23 PM > ep 90 done. total_steps=68092 | reward=0.0 | episode_steps=1000 | hours=0.114 | epsilon=0.130
2025/12/04 01:40:29 PM > ep 91 done. total_steps=69092 | reward=0.0 | episode_steps=1000 | hours=0.116 | epsilon=0.128
2025/12/04 01:40:30 PM > ep 92 done. total_steps=69218 | reward=1.0 | episode_steps=126 | hours=0.116 | epsilon=0.128
2025/12/04 01:40:36 PM > ep 93 done. total_steps=70218 | reward=0.0 | episode_steps=1000 | hours=0.118 | epsilon=0.127
2025/12/04 01:40:41 PM > ep 94 done. total_steps=71218 | reward=0.0 | episode_steps=1000 | hours=0.119 | epsilon=0.126
2025/12/04 01:40:47 PM > ep 95 done. total_steps=72218 | reward=0.0 | episode_steps=1000 | hours=0.121 | epsilon=0.124
2025/12/04 01:40:53 PM > ep 96 done. total_steps=73218 | reward=0.0 | episode_steps=1000 | hours=0.123 | epsilon=0.123
2025/12/04 01:40:59 PM > ep 97 done. total_steps=74218 | reward=0.0 | episode_steps=1000 | hours=0.124 | epsilon=0.122
2025/12/04 01:41:05 PM > ep 98 done. total_steps=75218 | reward=0.0 | episode_steps=1000 | hours=0.126 | epsilon=0.121
2025/12/04 01:41:10 PM > ep 99 done. total_steps=76218 | reward=0.0 | episode_steps=1000 | hours=0.127 | epsilon=0.120
2025/12/04 01:41:16 PM > ep 100 done. total_steps=77218 | reward=0.0 | episode_steps=1000 | hours=0.129 | epsilon=0.119
2025/12/04 01:41:22 PM > ep 101 done. total_steps=78218 | reward=0.0 | episode_steps=1000 | hours=0.131 | epsilon=0.118
2025/12/04 01:41:28 PM > ep 102 done. total_steps=79218 | reward=0.0 | episode_steps=1000 | hours=0.132 | epsilon=0.117
2025/12/04 01:41:34 PM > ep 103 done. total_steps=80218 | reward=0.0 | episode_steps=1000 | hours=0.134 | epsilon=0.116
2025/12/04 01:41:40 PM > ep 104 done. total_steps=81218 | reward=0.0 | episode_steps=1000 | hours=0.136 | epsilon=0.116
2025/12/04 01:41:46 PM > ep 105 done. total_steps=82218 | reward=0.0 | episode_steps=1000 | hours=0.137 | epsilon=0.115
2025/12/04 01:41:52 PM > ep 106 done. total_steps=83218 | reward=0.0 | episode_steps=1000 | hours=0.139 | epsilon=0.114
2025/12/04 01:41:58 PM > ep 107 done. total_steps=84218 | reward=0.0 | episode_steps=1000 | hours=0.140 | epsilon=0.113
2025/12/04 01:42:03 PM > ep 108 done. total_steps=85218 | reward=0.0 | episode_steps=1000 | hours=0.142 | epsilon=0.113
2025/12/04 01:42:09 PM > ep 109 done. total_steps=86218 | reward=0.0 | episode_steps=1000 | hours=0.144 | epsilon=0.112
2025/12/04 01:42:15 PM > ep 110 done. total_steps=87218 | reward=0.0 | episode_steps=1000 | hours=0.145 | epsilon=0.111
2025/12/04 01:42:21 PM > ep 111 done. total_steps=88218 | reward=0.0 | episode_steps=1000 | hours=0.147 | epsilon=0.111
2025/12/04 01:42:21 PM > ep 112 done. total_steps=88220 | reward=1.0 | episode_steps=2 | hours=0.147 | epsilon=0.111
2025/12/04 01:42:27 PM > ep 113 done. total_steps=89220 | reward=0.0 | episode_steps=1000 | hours=0.149 | epsilon=0.110
2025/12/04 01:42:32 PM > ep 114 done. total_steps=90220 | reward=0.0 | episode_steps=1000 | hours=0.150 | epsilon=0.110
2025/12/04 01:42:38 PM > ep 115 done. total_steps=91220 | reward=0.0 | episode_steps=1000 | hours=0.152 | epsilon=0.109
2025/12/04 01:42:44 PM > ep 116 done. total_steps=92220 | reward=0.0 | episode_steps=1000 | hours=0.153 | epsilon=0.109
2025/12/04 01:42:50 PM > ep 117 done. total_steps=93220 | reward=0.0 | episode_steps=1000 | hours=0.155 | epsilon=0.109
2025/12/04 01:42:55 PM > ep 118 done. total_steps=94220 | reward=0.0 | episode_steps=1000 | hours=0.157 | epsilon=0.108
2025/12/04 01:43:01 PM > ep 119 done. total_steps=95220 | reward=0.0 | episode_steps=1000 | hours=0.158 | epsilon=0.108
2025/12/04 01:43:07 PM > ep 120 done. total_steps=96220 | reward=0.0 | episode_steps=1000 | hours=0.160 | epsilon=0.107
2025/12/04 01:43:13 PM > ep 121 done. total_steps=97220 | reward=0.0 | episode_steps=1000 | hours=0.161 | epsilon=0.107
2025/12/04 01:43:13 PM > ep 122 done. total_steps=97225 | reward=1.0 | episode_steps=5 | hours=0.161 | epsilon=0.107
2025/12/04 01:43:19 PM > ep 123 done. total_steps=98225 | reward=0.0 | episode_steps=1000 | hours=0.163 | epsilon=0.107
2025/12/04 01:43:24 PM > ep 124 done. total_steps=99225 | reward=0.0 | episode_steps=1000 | hours=0.165 | epsilon=0.106
2025/12/04 01:43:30 PM > ep 125 done. total_steps=100225 | reward=0.0 | episode_steps=1000 | hours=0.166 | epsilon=0.106
2025/12/04 01:43:36 PM > ep 126 done. total_steps=101225 | reward=0.0 | episode_steps=1000 | hours=0.168 | epsilon=0.106
2025/12/04 01:43:37 PM > ep 127 done. total_steps=101353 | reward=1.0 | episode_steps=128 | hours=0.168 | epsilon=0.106
2025/12/04 01:43:42 PM > ep 128 done. total_steps=102353 | reward=0.0 | episode_steps=1000 | hours=0.170 | epsilon=0.105
2025/12/04 01:43:48 PM > ep 129 done. total_steps=103353 | reward=0.0 | episode_steps=1000 | hours=0.171 | epsilon=0.105
2025/12/04 01:43:54 PM > ep 130 done. total_steps=104353 | reward=0.0 | episode_steps=1000 | hours=0.173 | epsilon=0.105
2025/12/04 01:44:00 PM > ep 131 done. total_steps=105353 | reward=0.0 | episode_steps=1000 | hours=0.174 | epsilon=0.105
2025/12/04 01:44:05 PM > ep 132 done. total_steps=106353 | reward=0.0 | episode_steps=1000 | hours=0.176 | epsilon=0.104
2025/12/04 01:44:11 PM > ep 133 done. total_steps=107353 | reward=0.0 | episode_steps=1000 | hours=0.178 | epsilon=0.104
2025/12/04 01:44:17 PM > ep 134 done. total_steps=108353 | reward=0.0 | episode_steps=1000 | hours=0.179 | epsilon=0.104
2025/12/04 01:44:23 PM > ep 135 done. total_steps=109353 | reward=0.0 | episode_steps=1000 | hours=0.181 | epsilon=0.104
2025/12/04 01:44:29 PM > ep 136 done. total_steps=110353 | reward=0.0 | episode_steps=1000 | hours=0.182 | epsilon=0.104
2025/12/04 01:44:34 PM > ep 137 done. total_steps=111353 | reward=0.0 | episode_steps=1000 | hours=0.184 | epsilon=0.103
2025/12/04 01:44:35 PM > ep 138 done. total_steps=111440 | reward=1.0 | episode_steps=87 | hours=0.184 | epsilon=0.103
2025/12/04 01:44:41 PM > ep 139 done. total_steps=112440 | reward=0.0 | episode_steps=1000 | hours=0.186 | epsilon=0.103
2025/12/04 01:44:46 PM > ep 140 done. total_steps=113440 | reward=0.0 | episode_steps=1000 | hours=0.187 | epsilon=0.103
