2025/12/04 03:47:55 PM > ep 46 done. total_steps=6369 | reward=-551.9154010682116 | episode_steps=120 | hours=0.010 | epsilon=0.755
2025/12/04 03:47:56 PM > ep 47 done. total_steps=6546 | reward=-87.05808611651553 | episode_steps=177 | hours=0.010 | epsilon=0.749
2025/12/04 03:47:57 PM > ep 48 done. total_steps=6678 | reward=-381.4631180945171 | episode_steps=132 | hours=0.010 | epsilon=0.745
2025/12/04 03:47:57 PM > ep 49 done. total_steps=6745 | reward=-38.53938209436784 | episode_steps=67 | hours=0.010 | epsilon=0.742
2025/12/04 03:48:00 PM > ep 50 done. total_steps=7105 | reward=-97.3052946459949 | episode_steps=360 | hours=0.011 | epsilon=0.731
2025/12/04 03:48:00 PM > ep 51 done. total_steps=7232 | reward=-180.52944259272556 | episode_steps=127 | hours=0.011 | epsilon=0.727
2025/12/04 03:48:01 PM > ep 52 done. total_steps=7432 | reward=-333.5388410208679 | episode_steps=200 | hours=0.011 | epsilon=0.721
2025/12/04 03:48:02 PM > ep 53 done. total_steps=7544 | reward=30.975678954165858 | episode_steps=112 | hours=0.012 | epsilon=0.717
2025/12/04 03:48:03 PM > ep 54 done. total_steps=7787 | reward=-313.7599835398082 | episode_steps=243 | hours=0.012 | epsilon=0.710
2025/12/04 03:48:06 PM > ep 55 done. total_steps=8188 | reward=-125.44669761415992 | episode_steps=401 | hours=0.013 | epsilon=0.698
2025/12/04 03:48:07 PM > ep 56 done. total_steps=8484 | reward=-10.237489853037772 | episode_steps=296 | hours=0.013 | epsilon=0.689
2025/12/04 03:48:08 PM > ep 57 done. total_steps=8608 | reward=-16.279656577149836 | episode_steps=124 | hours=0.013 | epsilon=0.685
2025/12/04 03:48:09 PM > ep 58 done. total_steps=8792 | reward=-162.50302073390915 | episode_steps=184 | hours=0.014 | epsilon=0.680
2025/12/04 03:48:10 PM > ep 59 done. total_steps=8906 | reward=-20.88711482465665 | episode_steps=114 | hours=0.014 | epsilon=0.677
2025/12/04 03:48:11 PM > ep 60 done. total_steps=9081 | reward=-143.77118555825908 | episode_steps=175 | hours=0.014 | epsilon=0.672
2025/12/04 03:48:12 PM > ep 61 done. total_steps=9379 | reward=-503.82537314343676 | episode_steps=298 | hours=0.014 | epsilon=0.663
2025/12/04 03:48:14 PM > ep 62 done. total_steps=9673 | reward=-51.44045856919254 | episode_steps=294 | hours=0.015 | epsilon=0.655
2025/12/04 03:48:15 PM > ep 63 done. total_steps=9871 | reward=-225.72808403301957 | episode_steps=198 | hours=0.015 | epsilon=0.649
2025/12/04 03:48:21 PM > ep 64 done. total_steps=10698 | reward=-133.74520546482387 | episode_steps=827 | hours=0.017 | epsilon=0.627
2025/12/04 03:48:24 PM > ep 65 done. total_steps=11213 | reward=-380.1870415142643 | episode_steps=515 | hours=0.018 | epsilon=0.614
2025/12/04 03:48:28 PM > ep 66 done. total_steps=11806 | reward=-212.15347237643132 | episode_steps=593 | hours=0.019 | epsilon=0.599
2025/12/04 03:48:29 PM > ep 67 done. total_steps=12007 | reward=-12.41385787882625 | episode_steps=201 | hours=0.019 | epsilon=0.594
2025/12/04 03:48:30 PM > ep 68 done. total_steps=12218 | reward=-7.820527295014614 | episode_steps=211 | hours=0.019 | epsilon=0.589
2025/12/04 03:48:31 PM > ep 69 done. total_steps=12419 | reward=-199.68822314737517 | episode_steps=201 | hours=0.020 | epsilon=0.584
2025/12/04 03:48:38 PM > ep 70 done. total_steps=13419 | reward=-56.27585641918769 | episode_steps=1000 | hours=0.021 | epsilon=0.560
2025/12/04 03:48:38 PM > ep 71 done. total_steps=13516 | reward=-35.54254362904571 | episode_steps=97 | hours=0.022 | epsilon=0.558
2025/12/04 03:48:40 PM > ep 72 done. total_steps=13874 | reward=-123.48878990400394 | episode_steps=358 | hours=0.022 | epsilon=0.550
2025/12/04 03:48:43 PM > ep 73 done. total_steps=14301 | reward=-210.45056055058092 | episode_steps=427 | hours=0.023 | epsilon=0.540
2025/12/04 03:48:44 PM > ep 74 done. total_steps=14565 | reward=-19.32714371390648 | episode_steps=264 | hours=0.023 | epsilon=0.534
2025/12/04 03:48:50 PM > ep 75 done. total_steps=15488 | reward=-105.09298404140706 | episode_steps=923 | hours=0.025 | epsilon=0.515
2025/12/04 03:48:52 PM > ep 76 done. total_steps=15680 | reward=-80.92206873577953 | episode_steps=192 | hours=0.025 | epsilon=0.511
2025/12/04 03:48:58 PM > ep 77 done. total_steps=16680 | reward=-109.65263316620135 | episode_steps=1000 | hours=0.027 | epsilon=0.491
2025/12/04 03:49:02 PM > ep 78 done. total_steps=17286 | reward=-33.24091090203869 | episode_steps=606 | hours=0.028 | epsilon=0.479
2025/12/04 03:49:09 PM > ep 79 done. total_steps=18286 | reward=53.78725494304815 | episode_steps=1000 | hours=0.030 | epsilon=0.461
2025/12/04 03:49:10 PM > ep 80 done. total_steps=18402 | reward=-11.571819577566984 | episode_steps=116 | hours=0.030 | epsilon=0.459
2025/12/04 03:49:13 PM > ep 81 done. total_steps=18973 | reward=-174.84460200504626 | episode_steps=571 | hours=0.031 | epsilon=0.449
2025/12/04 03:49:21 PM > ep 82 done. total_steps=19973 | reward=-31.67587216768762 | episode_steps=1000 | hours=0.033 | epsilon=0.432
2025/12/04 03:49:27 PM > ep 83 done. total_steps=20973 | reward=-28.60917905328752 | episode_steps=1000 | hours=0.035 | epsilon=0.415
2025/12/04 03:49:31 PM > ep 84 done. total_steps=21577 | reward=-198.3199750373629 | episode_steps=604 | hours=0.036 | epsilon=0.406
2025/12/04 03:49:34 PM > ep 85 done. total_steps=22079 | reward=-177.3362824630549 | episode_steps=502 | hours=0.037 | epsilon=0.398
2025/12/04 03:49:39 PM > ep 86 done. total_steps=22893 | reward=-144.19239585327784 | episode_steps=814 | hours=0.038 | epsilon=0.387
2025/12/04 03:49:46 PM > ep 87 done. total_steps=23893 | reward=-43.92032985592143 | episode_steps=1000 | hours=0.041 | epsilon=0.373
2025/12/04 03:49:53 PM > ep 88 done. total_steps=24893 | reward=-94.39332236935857 | episode_steps=1000 | hours=0.042 | epsilon=0.359
2025/12/04 03:49:57 PM > ep 89 done. total_steps=25651 | reward=-210.6075865760863 | episode_steps=758 | hours=0.044 | epsilon=0.350
2025/12/04 03:50:05 PM > ep 90 done. total_steps=26651 | reward=-125.57169550219054 | episode_steps=1000 | hours=0.046 | epsilon=0.337
2025/12/04 03:50:07 PM > ep 91 done. total_steps=27106 | reward=-144.29603972379206 | episode_steps=455 | hours=0.046 | epsilon=0.332
2025/12/04 03:50:15 PM > ep 92 done. total_steps=28106 | reward=-103.32611061335722 | episode_steps=1000 | hours=0.048 | epsilon=0.321
2025/12/04 03:50:17 PM > ep 93 done. total_steps=28506 | reward=-154.28797871009627 | episode_steps=400 | hours=0.049 | epsilon=0.316
2025/12/04 03:50:22 PM > ep 94 done. total_steps=29335 | reward=-190.8460702089692 | episode_steps=829 | hours=0.050 | epsilon=0.308
2025/12/04 03:50:26 PM > ep 95 done. total_steps=29941 | reward=-159.79371793258827 | episode_steps=606 | hours=0.052 | epsilon=0.301
2025/12/04 03:50:27 PM > ep 96 done. total_steps=30168 | reward=-145.80808235094577 | episode_steps=227 | hours=0.052 | epsilon=0.299
2025/12/04 03:50:28 PM > ep 97 done. total_steps=30335 | reward=-79.53732462471193 | episode_steps=167 | hours=0.052 | epsilon=0.297
2025/12/04 03:50:35 PM > ep 98 done. total_steps=31335 | reward=-118.57277368361243 | episode_steps=1000 | hours=0.054 | epsilon=0.288
2025/12/04 03:50:42 PM > ep 99 done. total_steps=32335 | reward=-112.04716952082829 | episode_steps=1000 | hours=0.056 | epsilon=0.279
2025/12/04 03:50:48 PM > ep 100 done. total_steps=33335 | reward=-57.08050164535205 | episode_steps=1000 | hours=0.058 | epsilon=0.270
2025/12/04 03:50:56 PM > ep 101 done. total_steps=34335 | reward=-106.74032468083071 | episode_steps=1000 | hours=0.060 | epsilon=0.262
2025/12/04 03:51:02 PM > ep 102 done. total_steps=35335 | reward=-64.41813622050643 | episode_steps=1000 | hours=0.062 | epsilon=0.254
2025/12/04 03:51:10 PM > ep 103 done. total_steps=36335 | reward=-70.89358793004543 | episode_steps=1000 | hours=0.064 | epsilon=0.246
2025/12/04 03:51:17 PM > ep 104 done. total_steps=37335 | reward=-102.00095898155612 | episode_steps=1000 | hours=0.066 | epsilon=0.239
2025/12/04 03:51:24 PM > ep 105 done. total_steps=38335 | reward=-113.15615550420509 | episode_steps=1000 | hours=0.068 | epsilon=0.232
2025/12/04 03:51:31 PM > ep 106 done. total_steps=39335 | reward=-105.87369878626684 | episode_steps=1000 | hours=0.070 | epsilon=0.226
2025/12/04 03:51:38 PM > ep 107 done. total_steps=40335 | reward=-53.74445291728226 | episode_steps=1000 | hours=0.071 | epsilon=0.220
2025/12/04 03:51:45 PM > ep 108 done. total_steps=41335 | reward=-78.89801654782946 | episode_steps=1000 | hours=0.073 | epsilon=0.214
2025/12/04 03:51:45 PM > ep 109 done. total_steps=41450 | reward=-128.14736487186892 | episode_steps=115 | hours=0.074 | epsilon=0.213
2025/12/04 03:51:52 PM > ep 110 done. total_steps=42450 | reward=-89.11276236806809 | episode_steps=1000 | hours=0.075 | epsilon=0.208
2025/12/04 03:51:59 PM > ep 111 done. total_steps=43450 | reward=-97.61558281529072 | episode_steps=1000 | hours=0.077 | epsilon=0.203
2025/12/04 03:52:06 PM > ep 112 done. total_steps=44450 | reward=-106.18168781424473 | episode_steps=1000 | hours=0.079 | epsilon=0.198
2025/12/04 03:52:13 PM > ep 113 done. total_steps=45450 | reward=-126.42636095409162 | episode_steps=1000 | hours=0.081 | epsilon=0.193
2025/12/04 03:52:20 PM > ep 114 done. total_steps=46450 | reward=-67.41959341080297 | episode_steps=1000 | hours=0.083 | epsilon=0.188
2025/12/04 03:52:27 PM > ep 115 done. total_steps=47450 | reward=-93.75640687578668 | episode_steps=1000 | hours=0.085 | epsilon=0.184
2025/12/04 03:52:33 PM > ep 116 done. total_steps=48450 | reward=-10.263348294983068 | episode_steps=1000 | hours=0.087 | epsilon=0.180
2025/12/04 03:52:39 PM > ep 117 done. total_steps=49305 | reward=-158.4620939806655 | episode_steps=855 | hours=0.088 | epsilon=0.176
2025/12/04 03:52:45 PM > ep 118 done. total_steps=50305 | reward=-71.74276826286903 | episode_steps=1000 | hours=0.090 | epsilon=0.173
2025/12/04 03:52:52 PM > ep 119 done. total_steps=51305 | reward=-57.43535400786927 | episode_steps=1000 | hours=0.092 | epsilon=0.169
2025/12/04 03:53:00 PM > ep 120 done. total_steps=52305 | reward=-71.61045722164457 | episode_steps=1000 | hours=0.094 | epsilon=0.166
2025/12/04 03:53:03 PM > ep 121 done. total_steps=52881 | reward=-128.31735219824958 | episode_steps=576 | hours=0.095 | epsilon=0.164
2025/12/04 03:53:09 PM > ep 122 done. total_steps=53774 | reward=-176.1456386522425 | episode_steps=893 | hours=0.097 | epsilon=0.161
2025/12/04 03:53:12 PM > ep 123 done. total_steps=54261 | reward=-101.95593261836197 | episode_steps=487 | hours=0.098 | epsilon=0.160
2025/12/04 03:53:18 PM > ep 124 done. total_steps=55261 | reward=-107.49470034545061 | episode_steps=1000 | hours=0.099 | epsilon=0.157
2025/12/04 03:53:25 PM > ep 125 done. total_steps=56261 | reward=-108.8332979921017 | episode_steps=1000 | hours=0.101 | epsilon=0.154
2025/12/04 03:53:32 PM > ep 126 done. total_steps=57261 | reward=-101.30760526149115 | episode_steps=1000 | hours=0.103 | epsilon=0.151
2025/12/04 03:53:39 PM > ep 127 done. total_steps=58261 | reward=-71.7976991291581 | episode_steps=1000 | hours=0.105 | epsilon=0.149
