2025/12/03 01:09:55 PM > ep 50 done. total_steps=854 | reward=11.0 | episode_steps=11 | hours=0.004 | epsilon=0.962
2025/12/03 01:09:55 PM > ep 51 done. total_steps=871 | reward=17.0 | episode_steps=17 | hours=0.004 | epsilon=0.962
2025/12/03 01:09:55 PM > ep 52 done. total_steps=895 | reward=24.0 | episode_steps=24 | hours=0.004 | epsilon=0.961
2025/12/03 01:09:55 PM > ep 53 done. total_steps=910 | reward=15.0 | episode_steps=15 | hours=0.004 | epsilon=0.960
2025/12/03 01:09:55 PM > ep 54 done. total_steps=922 | reward=12.0 | episode_steps=12 | hours=0.004 | epsilon=0.959
2025/12/03 01:09:56 PM > ep 55 done. total_steps=938 | reward=16.0 | episode_steps=16 | hours=0.004 | epsilon=0.959
2025/12/03 01:09:56 PM > ep 56 done. total_steps=949 | reward=11.0 | episode_steps=11 | hours=0.004 | epsilon=0.958
2025/12/03 01:09:56 PM > ep 57 done. total_steps=961 | reward=12.0 | episode_steps=12 | hours=0.004 | epsilon=0.958
2025/12/03 01:09:56 PM > ep 58 done. total_steps=983 | reward=22.0 | episode_steps=22 | hours=0.004 | epsilon=0.957
2025/12/03 01:09:56 PM > ep 59 done. total_steps=1013 | reward=30.0 | episode_steps=30 | hours=0.004 | epsilon=0.956
2025/12/03 01:09:57 PM > ep 60 done. total_steps=1036 | reward=23.0 | episode_steps=23 | hours=0.004 | epsilon=0.955
2025/12/03 01:09:57 PM > ep 61 done. total_steps=1055 | reward=19.0 | episode_steps=19 | hours=0.004 | epsilon=0.954
2025/12/03 01:09:57 PM > ep 62 done. total_steps=1070 | reward=15.0 | episode_steps=15 | hours=0.004 | epsilon=0.953
2025/12/03 01:09:58 PM > ep 63 done. total_steps=1109 | reward=39.0 | episode_steps=39 | hours=0.004 | epsilon=0.951
2025/12/03 01:09:58 PM > ep 64 done. total_steps=1157 | reward=48.0 | episode_steps=48 | hours=0.004 | epsilon=0.949
2025/12/03 01:09:58 PM > ep 65 done. total_steps=1168 | reward=11.0 | episode_steps=11 | hours=0.004 | epsilon=0.949
2025/12/03 01:09:59 PM > ep 66 done. total_steps=1195 | reward=27.0 | episode_steps=27 | hours=0.005 | epsilon=0.948
2025/12/03 01:09:59 PM > ep 67 done. total_steps=1209 | reward=14.0 | episode_steps=14 | hours=0.005 | epsilon=0.947
2025/12/03 01:09:59 PM > ep 68 done. total_steps=1230 | reward=21.0 | episode_steps=21 | hours=0.005 | epsilon=0.946
2025/12/03 01:10:00 PM > ep 69 done. total_steps=1296 | reward=66.0 | episode_steps=66 | hours=0.005 | epsilon=0.944
2025/12/03 01:10:00 PM > ep 70 done. total_steps=1319 | reward=23.0 | episode_steps=23 | hours=0.005 | epsilon=0.943
2025/12/03 01:10:01 PM > ep 71 done. total_steps=1357 | reward=38.0 | episode_steps=38 | hours=0.005 | epsilon=0.941
2025/12/03 01:10:01 PM > ep 72 done. total_steps=1370 | reward=13.0 | episode_steps=13 | hours=0.005 | epsilon=0.940
2025/12/03 01:10:01 PM > ep 73 done. total_steps=1384 | reward=14.0 | episode_steps=14 | hours=0.005 | epsilon=0.940
2025/12/03 01:10:01 PM > ep 74 done. total_steps=1401 | reward=17.0 | episode_steps=17 | hours=0.005 | epsilon=0.939
2025/12/03 01:10:01 PM > ep 75 done. total_steps=1415 | reward=14.0 | episode_steps=14 | hours=0.005 | epsilon=0.939
2025/12/03 01:10:02 PM > ep 76 done. total_steps=1428 | reward=13.0 | episode_steps=13 | hours=0.005 | epsilon=0.938
2025/12/03 01:10:02 PM > ep 77 done. total_steps=1445 | reward=17.0 | episode_steps=17 | hours=0.006 | epsilon=0.937
2025/12/03 01:10:02 PM > ep 78 done. total_steps=1458 | reward=13.0 | episode_steps=13 | hours=0.006 | epsilon=0.937
2025/12/03 01:10:02 PM > ep 79 done. total_steps=1470 | reward=12.0 | episode_steps=12 | hours=0.006 | epsilon=0.936
2025/12/03 01:10:02 PM > ep 80 done. total_steps=1489 | reward=19.0 | episode_steps=19 | hours=0.006 | epsilon=0.935
2025/12/03 01:10:03 PM > ep 81 done. total_steps=1525 | reward=36.0 | episode_steps=36 | hours=0.006 | epsilon=0.934
2025/12/03 01:10:03 PM > ep 82 done. total_steps=1540 | reward=15.0 | episode_steps=15 | hours=0.006 | epsilon=0.933
2025/12/03 01:10:04 PM > ep 83 done. total_steps=1586 | reward=46.0 | episode_steps=46 | hours=0.006 | epsilon=0.931
2025/12/03 01:10:04 PM > ep 84 done. total_steps=1599 | reward=13.0 | episode_steps=13 | hours=0.006 | epsilon=0.931
2025/12/03 01:10:04 PM > ep 85 done. total_steps=1629 | reward=30.0 | episode_steps=30 | hours=0.006 | epsilon=0.930
2025/12/03 01:10:05 PM > ep 86 done. total_steps=1675 | reward=46.0 | episode_steps=46 | hours=0.006 | epsilon=0.928
2025/12/03 01:10:05 PM > ep 87 done. total_steps=1689 | reward=14.0 | episode_steps=14 | hours=0.006 | epsilon=0.927
2025/12/03 01:10:05 PM > ep 88 done. total_steps=1706 | reward=17.0 | episode_steps=17 | hours=0.006 | epsilon=0.926
2025/12/03 01:10:06 PM > ep 89 done. total_steps=1733 | reward=27.0 | episode_steps=27 | hours=0.007 | epsilon=0.925
2025/12/03 01:10:06 PM > ep 90 done. total_steps=1752 | reward=19.0 | episode_steps=19 | hours=0.007 | epsilon=0.925
2025/12/03 01:10:06 PM > ep 91 done. total_steps=1764 | reward=12.0 | episode_steps=12 | hours=0.007 | epsilon=0.924
2025/12/03 01:10:06 PM > ep 92 done. total_steps=1773 | reward=9.0 | episode_steps=9 | hours=0.007 | epsilon=0.924
2025/12/03 01:10:06 PM > ep 93 done. total_steps=1783 | reward=10.0 | episode_steps=10 | hours=0.007 | epsilon=0.923
2025/12/03 01:10:06 PM > ep 94 done. total_steps=1793 | reward=10.0 | episode_steps=10 | hours=0.007 | epsilon=0.923
2025/12/03 01:10:07 PM > ep 95 done. total_steps=1816 | reward=23.0 | episode_steps=23 | hours=0.007 | epsilon=0.922
2025/12/03 01:10:07 PM > ep 96 done. total_steps=1826 | reward=10.0 | episode_steps=10 | hours=0.007 | epsilon=0.922
2025/12/03 01:10:07 PM > ep 97 done. total_steps=1845 | reward=19.0 | episode_steps=19 | hours=0.007 | epsilon=0.921
2025/12/03 01:10:07 PM > ep 98 done. total_steps=1858 | reward=13.0 | episode_steps=13 | hours=0.007 | epsilon=0.920
2025/12/03 01:10:07 PM > ep 99 done. total_steps=1870 | reward=12.0 | episode_steps=12 | hours=0.007 | epsilon=0.920
2025/12/03 01:10:08 PM > ep 100 done. total_steps=1906 | reward=36.0 | episode_steps=36 | hours=0.007 | epsilon=0.918
2025/12/03 01:10:08 PM > ep 101 done. total_steps=1935 | reward=29.0 | episode_steps=29 | hours=0.007 | epsilon=0.917
2025/12/03 01:10:09 PM > ep 102 done. total_steps=1961 | reward=26.0 | episode_steps=26 | hours=0.007 | epsilon=0.916
2025/12/03 01:10:09 PM > ep 103 done. total_steps=1982 | reward=21.0 | episode_steps=21 | hours=0.007 | epsilon=0.915
2025/12/03 01:10:09 PM > ep 104 done. total_steps=2002 | reward=20.0 | episode_steps=20 | hours=0.008 | epsilon=0.914
2025/12/03 01:10:10 PM > ep 105 done. total_steps=2035 | reward=33.0 | episode_steps=33 | hours=0.008 | epsilon=0.913
2025/12/03 01:10:10 PM > ep 106 done. total_steps=2050 | reward=15.0 | episode_steps=15 | hours=0.008 | epsilon=0.912
2025/12/03 01:10:10 PM > ep 107 done. total_steps=2067 | reward=17.0 | episode_steps=17 | hours=0.008 | epsilon=0.912
2025/12/03 01:10:11 PM > ep 108 done. total_steps=2100 | reward=33.0 | episode_steps=33 | hours=0.008 | epsilon=0.910
2025/12/03 01:10:11 PM > ep 109 done. total_steps=2117 | reward=17.0 | episode_steps=17 | hours=0.008 | epsilon=0.910
2025/12/03 01:10:11 PM > ep 110 done. total_steps=2137 | reward=20.0 | episode_steps=20 | hours=0.008 | epsilon=0.909
2025/12/03 01:10:12 PM > ep 111 done. total_steps=2184 | reward=47.0 | episode_steps=47 | hours=0.008 | epsilon=0.907
2025/12/03 01:10:12 PM > ep 112 done. total_steps=2212 | reward=28.0 | episode_steps=28 | hours=0.008 | epsilon=0.906
2025/12/03 01:10:12 PM > ep 113 done. total_steps=2235 | reward=23.0 | episode_steps=23 | hours=0.008 | epsilon=0.905
